Subject,Dict_Key,Acc_Diff_Mean,Acc_Diff_Median,Acc_Diff_Std,Box_Diff_Mean,Box_Diff_Median,Box_Diff_Std
X51231,"(1, 3)",-0.08220971813433671,-0.08220971813433671,0.058674825325032494,0.2272501499101054,0.2272501499101054,0.043734150036470965
X51231,"(1, 4)",-0.04216096824069186,-0.04216096824069186,0.14123793675982171,-0.005771520035341382,-0.005771520035341382,0.0
X51231,"(2, 1)",-0.30509582841051097,-0.30509582841051097,0.3381047505627138,-0.23329307499807328,-0.23329307499807328,0.20125602500047535
X51231,"(2, 2)",-0.04525375268505498,-0.04525375268505498,0.057737621711561535,-0.013883016185718588,-0.013883016185718588,0.02152700375590939
X51231,"(2, 3)",0.07386629708288892,0.07386629708288892,0.0,0.12663457775488496,0.12663457775488496,0.0
X51231,"(2, 4)",-0.3658290739926493,-0.3658290739926493,0.0,-0.2982809667785962,-0.2982809667785962,0.0
X51231,"(3, 1)",-0.47997406479264404,-0.47997406479264404,0.33140781287852417,-0.054517799988389015,-0.054517799988389015,0.0
X51231,"(3, 2)",-0.236061440052522,-0.236061440052522,0.06296496380205764,-0.05064019751152955,-0.05064019751152955,0.025392422551522034
X51231,"(3, 3)",0.06526920828656302,0.06526920828656302,0.13938345831156485,0.17291860431364245,0.17291860431364245,0.12391994546701693
X51231,"(3, 4)",-0.11921859046436226,-0.11921859046436226,0.028594453487634258,-0.00879440000280738,-0.00879440000280738,0.045534300012514
X51231,"(4, 1)",-0.20713159863320788,-0.20713159863320788,0.08414026302923652,0.03938588340921949,0.03938588340921949,0.20230698333277058
X51231,"(4, 2)",-0.10454020666505123,-0.10454020666505123,0.022159286729187273,0.057849649936542846,0.057849649936542846,0.030161749906255864
X51231,"(4, 3)",0.16646811640699638,0.16646811640699638,0.3011009971488619,0.007846800047749033,0.007846800047749033,0.020846199962155275
X51231,"(4, 4)",0.05199673140583531,0.05199673140583531,0.0,-0.024409650010056794,-0.024409650010056794,0.0
Jul_13,"(1, 1)",-0.054792242244691515,-0.054792242244691515,0.0,0.015047500084619969,0.015047500084619969,0.0
Jul_13,"(1, 2)",-0.07941557362961066,-0.07941557362961066,0.01596449929925843,-0.01202829999383539,-0.01202829999383539,0.0
Jul_13,"(1, 3)",-0.020199666827864483,-0.020199666827864483,0.021789603146906027,0.06358236666225518,0.06358236666225518,0.0
Jul_13,"(1, 4)",-0.07677517823120773,-0.07677517823120773,0.0,0.2219770000083372,0.2219770000083372,0.0
Jul_13,"(2, 1)",-0.004502521117147644,-0.004502521117147644,0.0,0.01935386665475865,0.01935386665475865,0.0
