Subject,Run,Dict_Key,Acc_Diff_Mean,Acc_Diff_Median,Acc_Diff_Std,Box_Diff_Mean,Box_Diff_Median,Box_Diff_Std
X91583,1,"(2, 1)",-0.11880966431310203,-0.15565030138090374,0.09743964645505118,-0.07251756249752361,-0.10314079996896908,0.09818975173485768
X91583,1,"(2, 2)",-0.06750241546973164,-0.07211290292831632,0.07925828115920776,-0.01679971667342923,-0.00445949996355921,0.08433301412296405
X91583,1,"(2, 3)",-0.009567130102524843,0.015501473127075518,0.056239818718287406,0.035561975062591955,0.05400735005969182,0.06689810168397572
X91583,1,"(2, 4)",-0.08886010202998613,-0.09030175431647089,0.08454636864995055,0.008765773312188686,-0.04603630013298243,0.18942269490234168
X91583,1,"(3, 1)",-0.23871874408659918,-0.2859908750962264,0.09708709123518343,-0.14669427505577914,-0.1534058500546962,0.06028335862176446
X91583,1,"(3, 2)",-0.25242971185226165,-0.20992449453517661,0.16848778498525988,-0.1453012083172022,-0.08403154992265627,0.1832707748688087
X91583,1,"(3, 3)",-0.05039530397507455,-0.12814994063807514,0.18541202600492174,0.043998624954838306,0.0015079500153660774,0.1464469275671824
X91583,1,"(3, 4)",-0.16232783793967745,-0.1313857348846704,0.08540864897866854,-0.08187857000157236,-0.08131579996552318,0.06739553529244506
X91583,1,"(4, 1)",-0.17570319857624941,-0.1836691838849476,0.10962049204021743,-0.06296764762096461,-0.054877899936400354,0.06312864343599596
X91583,1,"(4, 2)",0.05345882617499843,0.051839789522880625,0.13674545737822458,0.08884304615024191,0.10597909998614341,0.05309629273204238
X91583,1,"(4, 3)",0.006300763292767399,-0.0021487511122220138,0.11232145843164171,0.12161987778058068,0.15593790006823838,0.07341632538134542
X91583,1,"(4, 4)",-0.09378499919252326,-0.12880107455411083,0.12345254654397118,-0.012259222243705558,0.00802429998293519,0.13793006214632972
X91583,2,"(1, 1)",-0.07986931713850941,-0.07947384722490847,0.18490839571603765,0.015673355542175058,0.0065663999994285405,0.08308040545092557
X91583,2,"(1, 2)",0.0451134679732026,0.047710815620487235,0.12041379600989596,0.0999379273165356,0.10797199991066009,0.08286316676911763
X91583,2,"(1, 3)",0.12410892459601328,0.050823532519840786,0.16602866829457266,0.19862210001641264,0.17500210006255656,0.06894081469105358
X91583,2,"(1, 4)",-0.17847201574871951,-0.1261828960959233,0.2737213871604345,-0.08890005999710411,-0.008532800013199449,0.23267272956974253
X91583,2,"(2, 1)",-0.1912413831693847,-0.19156538856481742,0.06506896137008347,-0.13217141820033165,-0.13307690003421158,0.07767450523503552
X91583,2,"(2, 2)",-0.032961642955662375,-0.03848810427769894,0.050787021884487936,0.017728713317774238,0.019881500047631562,0.04960365078814997
X91583,2,"(2, 3)",0.00941265648595746,0.004627547919971914,0.05461380061823798,0.06736466663035874,0.06566344999009743,0.04355840337695018
X91583,2,"(2, 4)",-0.18384466311496783,-0.15485895835699331,0.07741238321577641,-0.12065463498583995,-0.09153200010769069,0.07214155377985752
X91583,2,"(3, 1)",-0.2504827174787713,-0.2841695758559092,0.10179902244178389,-0.13766896666493267,-0.11899584997445345,0.08652863968487699
X91583,2,"(3, 2)",-0.16071361469819848,-0.15243761458075744,0.027756825647603796,-0.050500024954089895,-0.04698009992716834,0.03970644275818345
X91583,2,"(3, 3)",-0.10203507720373664,-0.12220499840121588,0.11869852057722378,0.0020167200360447167,0.008091300027444959,0.09477470913513572
X91583,2,"(3, 4)",-0.3114588872768522,-0.2822855011241001,0.21259746551041667,-0.2007112091364847,-0.16422850009985268,0.23025203640333275
X91583,2,"(4, 1)",-0.28162675692396905,-0.2900090697793627,0.09466270536869598,-0.05900802724698389,-0.055067399982362986,0.06552017115312048
X91583,2,"(4, 2)",-0.026705984672716204,-0.04994539641717069,0.14628359428221013,0.21775507140305958,0.13998370000626892,0.19618683762571762
X91583,2,"(4, 3)",-0.007409736595916976,-0.04599261827360113,0.2056785587196267,0.180388025008142,0.169053649995476,0.0658516644267501
X91583,2,"(4, 4)",-0.1913519418068814,-0.2225412719721095,0.26872489442546504,-0.04990940908266401,-0.036987499915994704,0.08116569862187224
X38547,1,"(1, 1)",-0.07113677132707745,-0.09949512748284417,0.2084243971829654,-0.014311036327853799,3.5499921068549156e-05,0.0893635355470765
X38547,1,"(1, 2)",0.018875511086102296,-0.023318391949955164,0.18726737292322765,-0.004262399892987949,0.020199900027364492,0.12463362909370165
X38547,1,"(1, 3)",0.11608104960539263,-0.008594762557068925,0.17687028007884031,0.07907136677143474,0.05301750008948147,0.044764674121012815
X38547,1,"(1, 4)",0.0874770422147615,0.07234105876740962,0.2721064108466181,0.01209226663922891,0.05447754985652864,0.2006523794385643
X38547,1,"(2, 1)",-0.09418825357298012,-0.06670702200422707,0.09965427370376682,-0.05285020005734017,-0.04208810010459274,0.09215343898825941
X38547,1,"(2, 2)",-0.026024401637236193,-0.06496357745744252,0.09054650839253596,-0.035993566658968724,-0.02305880025960505,0.07364987494458959
X38547,1,"(2, 3)",0.01831064502907486,-0.035255770471740056,0.18035133235261522,0.1261856749188155,0.10732509987428784,0.09243941494031599
X38547,1,"(2, 4)",-0.14588851877040543,-0.12135029552105431,0.1757492433974576,0.017427179822698237,-0.01801950018852949,0.07731254576234065
X38547,1,"(3, 1)",-0.10659488118941325,-0.11642484767357184,0.1911174212269996,-0.11232456669677049,-0.10450595000293106,0.0750331978109656
X38547,1,"(3, 2)",-0.2063426016451956,-0.20568016306258063,0.16960527532115285,-0.05554089997895062,-0.05554089997895062,0.030548099894076586
X38547,1,"(3, 3)",0.0182102416972293,-0.041644800343717064,0.15645406376787507,0.0865344499470666,0.0865344499470666,0.11339565005619079
X38547,1,"(3, 4)",0.03376817964241369,0.07980992342847376,0.1714191798364581,-0.017901988881122734,-0.006015200167894363,0.07110950837448682
X38547,1,"(4, 1)",0.03456057625010203,-0.005259017263592625,0.15436457646421362,-0.017920786639054616,-0.012023299932479858,0.09158455878881144
X38547,1,"(4, 2)",0.02906522283797812,-0.005089414883925392,0.1571771391653894,-0.024527133248435955,-0.008497749920934439,0.10870523847631282
