Subject,Test Type,Mean,Median,Standard Deviation,Minimum,Maximum,Normality
X98504,4,314.54832437878645,306.8720998708159,57.23420294094397,218.78540003672242,538.5713998693973,No

Subject,Heterotopic over homotopic ratio
Jul_13,1.0562384918782233
X03004,1.0562384918782233
X05398,1.2191115594589954
X13844,1.0979772544253243
x24208,nan
X24208,nan
X33332,1.0370879664933035
X37945,1.117783137094621
X38547,1.1375186027598148
X42448,1.0934138659968669
X44909,1.0985156269645255
X55579,1.0905267868036774
X58086,1.1260883874231022
X61122,1.180555475630962
X64181,1.1401846279963572
X70786,1.2313708002283204
X72350,1.1437155382245305
X85446,1.085241922967494
X86768,1.109341138249078
X87678,1.1356966634126733
X91583,1.127647341060582
X98504,1.145570742597509
