Subject,Run,Test Type,Mean,Median,Standard Deviation,Minimum,Maximum,Normality
X37945,2,4,361.65430740752697,335.84205000079237,105.09514140547141,215.22750000076485,683.1488000007084,No
X38547,1,1,478.3469218210402,465.50239995121956,75.39688907671555,316.7993000242859,688.5480999480933,No
X38547,1,2,424.6257293818738,409.5763498917222,72.15996368026175,322.79359991662204,654.8876999877393,No
X38547,1,3,361.7697856971063,353.2160500762984,72.95369815246481,230.91539996676147,525.5384999327362,Yes
X38547,1,4,406.47022456764,397.96250010840595,73.40714769590402,285.42229998856783,674.1005999501795,No
X38547,2,1,452.3840448914134,447.2386999987066,91.85662596044526,250.99399988539517,676.238999934867,Yes
X38547,2,2,371.60593875664836,361.8693999014795,70.07760732811542,266.1702998448163,598.9401999395341,No
X38547,2,3,342.4919048755816,306.7822000011802,100.36185791336021,218.17749994806945,675.1254999544472,No
X38547,2,4,394.5314333282618,377.1390999900177,101.63431475116059,252.42789997719228,638.0737000145018,No
X42448,1,1,428.780082352927,418.8065999999253,78.4927089452368,324.7117999999318,678.238599999986,No
X42448,1,2,480.80901515147684,495.2046000003065,81.85059525121558,303.8712999996278,630.4882999993424,Yes
X42448,1,3,446.0567487804483,433.57949999972334,75.39713607432071,337.8060999993977,625.4555000000437,No
X42448,1,4,387.95018292688746,378.45729999980904,61.0141526075291,306.79700000018784,602.2038000000975,No
X42448,2,1,421.60701249991916,423.31919999969614,79.83655070961534,310.27110000013636,602.1994000002451,Yes
X42448,2,2,419.5885526314669,395.68810000037047,78.54037207254625,318.48989999980404,568.5204000001249,No
X42448,2,3,371.79603750013257,353.6644499999966,70.0671537264436,274.2798999997831,526.8730000007054,Yes
X42448,2,4,374.4060466665663,369.11999999938416,68.67794415218465,275.1581000002261,567.9380999999921,Yes
X44909,1,1,531.5047230822249,562.900900025852,109.7729992687251,333.87640002183616,680.7561999885365,Yes
X44909,1,2,498.109440545778,493.1138000683859,88.8528414396034,353.3545999089256,678.2156999688596,No
X44909,1,3,468.7782274908386,444.39154997235164,85.81164841852217,302.27230000309646,688.1203000666574,Yes
X44909,1,4,496.5889299812261,496.6543999616988,77.90401841235449,379.08069998957217,663.4307999629527,Yes
X44909,2,1,552.2313263071211,541.7492999695241,87.02194835903737,415.9708999795839,689.7394999396056,Yes
X44909,2,2,498.5224526363278,479.0572500205599,83.54389333478812,371.41959997825325,694.3307999754325,Yes
X44909,2,3,451.66502889349226,431.62789999041706,96.4089723095706,308.4092999342829,685.608199913986,No
X44909,2,4,462.37901426918273,429.8006999306381,88.011112095386,363.4868999943137,693.1309000356123,No
X48739,1,1,418.15561724722323,416.5221999865025,63.82526135544817,279.12359999027103,609.6329001011327,Yes
X48739,1,2,407.6635258629565,388.3490499574691,80.5274532421971,277.87009999156,599.0097000030801,No
X48739,1,3,336.56608947274975,339.8206999991089,59.34684140063999,238.3210000116378,473.22990000247955,Yes
X48739,1,4,396.9045099976938,387.75980001082644,79.19128700681975,270.31329995952547,663.6656998889521,No
X48739,2,1,385.1215068957415,376.12209998769686,87.29867701064376,253.6217001033947,653.704300057143,No
X48739,2,2,356.8205842094725,342.0955000910908,72.93830126766672,244.55519998446107,666.7562000220641,No
X48739,2,3,310.92138214028506,304.9250000040047,61.43577774034886,220.51270003430545,596.4053999632597,No
X48739,2,4,359.0913661025559,339.1958000138402,70.88255873430765,275.7736999774352,673.6971999052912,No
X51231,1,1,601.8354199826717,576.3496998697519,59.986068210852196,507.28879985399544,698.3304000459611,Yes
X51231,1,2,542.9309257982119,539.4328001420945,90.99517676053159,367.3566000070423,674.4382998440415,Yes
X51231,1,3,483.122117491439,466.4112998871133,107.71520528427754,285.57990002445877,670.3955000266433,No
X51231,1,4,510.00044705784495,469.2950998432934,95.9632223393308,401.385199977085,686.3925999496132,No
X51231,2,1,567.0291000384499,568.9918000716716,75.24657872313124,426.92260001786053,661.0441999509931,Yes
X51231,2,2,487.2471879981458,470.388549962081,89.2742960917392,339.9421002250165,659.8688999656588,No
X51231,2,3,429.8624133380751,423.8557000644505,88.89890691782063,281.8547999486327,684.9466001149267,Yes
X51231,2,4,481.94437730126083,489.9272999027744,93.83737212909762,294.8782998137176,670.8829998970032,Yes
X55579,1,1,393.3905090908824,376.82479999966745,70.16451832173945,292.39619999862043,627.3767999991833,No
X55579,1,2,385.2720406779307,370.0298000003386,62.59701736423117,294.4372999991174,550.0391000005038,No
X55579,1,3,350.521208333339,350.13264999997773,42.196965180989906,254.05070000124397,498.0861999993067,No
X55579,1,4,339.36665614049144,333.46030000029714,54.28633102285844,248.4268999996857,533.1061000015325,No
X55579,2,1,384.0433595239682,363.72975000085717,64.69650500514129,307.74299999939103,650.2878999999666,No
X55579,2,2,391.3272979168596,396.24780000031024,55.661250109811256,268.7619000007544,546.2430999996286,Yes
X55579,2,3,381.1425692307029,377.38344999979745,62.451841456834956,258.728599999813,575.1314999997703,No
X55579,2,4,356.9906115384793,341.1300500001744,66.0026071340021,264.35740000124497,600.6230000002688,No
X58086,1,1,484.9980947206189,472.13360003661364,76.23932069289911,373.06510005146265,659.1283000307158,No
X58086,1,2,444.39139544688675,424.09844999201596,53.49718237037261,364.18769997544587,552.0908000180498,Yes
X58086,1,3,390.63261666645604,384.56095004221424,69.28587354252134,290.06599995773286,584.0631000464782,Yes
X58086,1,4,449.3576099979691,426.6178500256501,82.95115479087707,349.11559999454767,657.098799943924,No
X58086,2,1,390.0318249943666,385.08655002806336,46.67667906473196,302.6073999935761,471.7216999270022,Yes
X58086,2,2,414.42291331865516,404.5934999594465,72.56485176514121,291.60370002500713,562.6190999755636,Yes
X58086,2,3,354.89077740649304,329.5875999610871,72.88183284523207,280.6153000565246,610.6261999811977,No
X58086,2,4,364.24747998826206,375.1048499834724,42.351973875863294,288.67559996433556,424.60839997511357,Yes
X61122,1,1,512.7430833166554,500.32684998586774,65.03307961122614,370.8653999492526,661.8780000135303,Yes
X61122,1,2,394.34074577717587,392.81139988452196,69.27894390279609,281.7673999816179,602.8322998899966,Yes
X61122,1,3,350.56882372157554,340.8019000198692,59.98811610466055,249.00250020436943,508.74560000374913,Yes
X61122,1,4,384.2608755055283,366.81909998878837,60.78227092982789,302.9025001451373,542.7158998791128,No
X61122,2,1,487.6402656227583,483.86535013560206,72.38829659929468,304.3742999434471,625.3476999700069,Yes
X61122,2,2,367.2785793013614,354.9777501029894,65.24358068124849,252.37620016559958,615.3311000671238,No
X61122,2,3,343.19580166678253,328.38315004482865,66.05828546371689,246.3302998803556,650.3346001263708,No
X61122,2,4,383.25545946261974,367.3620999325067,68.82100981845875,298.3450999017805,623.308900045231,No
